"","x"
"1372","sem defeito"
"1373","sem defeito"
"1374","sem defeito"
"1375","sem defeito"
"1376","sem defeito"
"1377","sem defeito"
"1378","sem defeito"
"1379","sem defeito"
"1380","sem defeito"
"1381","sem defeito"
"1382","sem defeito"
"1383","sem defeito"
"1384","sem defeito"
"1385","sem defeito"
"1386","sem defeito"
"1387","sem defeito"
"1388","sem defeito"
"1389","sem defeito"
"1390","sem defeito"
"1391","sem defeito"
"1392","sem defeito"
"1393","sem defeito"
"1394","sem defeito"
"1395","sem defeito"
"1396","sem defeito"
"1397","sem defeito"
"1398","sem defeito"
"1399","sem defeito"
"1400","sem defeito"
"1401","sem defeito"
"1402","sem defeito"
"1403","sem defeito"
"1404","sem defeito"
"1405","sem defeito"
"1406","sem defeito"
"1407","sem defeito"
"1408","sem defeito"
"1409","sem defeito"
"1410","sem defeito"
"1411","sem defeito"
"1412","sem defeito"
"1413","sem defeito"
"1414","sem defeito"
"1415","sem defeito"
"1416","sem defeito"
"1417","sem defeito"
"1418","sem defeito"
"1419","sem defeito"
"1420","sem defeito"
"1421","sem defeito"
"1422","sem defeito"
"1423","sem defeito"
"1424","sem defeito"
"1425","defeito"
"1426","sem defeito"
"1427","sem defeito"
"1428","sem defeito"
"1429","sem defeito"
"1430","sem defeito"
"1431","sem defeito"
"1432","sem defeito"
"1433","sem defeito"
"1434","sem defeito"
"1435","sem defeito"
"1436","sem defeito"
"1437","sem defeito"
"1438","sem defeito"
"1439","sem defeito"
"1440","sem defeito"
"1441","sem defeito"
"1442","sem defeito"
"1443","sem defeito"
"1444","sem defeito"
"1445","sem defeito"
"1446","sem defeito"
"1447","sem defeito"
"1448","sem defeito"
"1449","sem defeito"
"1450","sem defeito"
"1451","sem defeito"
"1452","sem defeito"
"1453","sem defeito"
"1454","sem defeito"
"1455","sem defeito"
"1456","sem defeito"
"1457","sem defeito"
"1458","sem defeito"
"1459","sem defeito"
"1460","sem defeito"
"1461","sem defeito"
"1462","sem defeito"
"1463","defeito"
"1464","sem defeito"
"1465","sem defeito"
"1466","sem defeito"
"1467","sem defeito"
"1468","sem defeito"
"1469","sem defeito"
"1470","sem defeito"
"1471","sem defeito"
"1472","sem defeito"
"1473","sem defeito"
"1474","sem defeito"
"1475","sem defeito"
"1476","sem defeito"
"1477","sem defeito"
"1478","sem defeito"
"1479","sem defeito"
"1480","sem defeito"
"1481","sem defeito"
"1482","sem defeito"
"1483","defeito"
"1484","sem defeito"
"1485","sem defeito"
"1486","sem defeito"
"1487","sem defeito"
"1488","sem defeito"
"1489","sem defeito"
"1490","sem defeito"
"1491","sem defeito"
"1492","sem defeito"
"1493","sem defeito"
"1494","sem defeito"
"1495","sem defeito"
"1496","sem defeito"
"1497","sem defeito"
"1498","sem defeito"
"1499","sem defeito"
"1500","sem defeito"
